"id","station","elevation","latitude","longitude","date","prcp","tmax","tmin"
"GHCND:USW00023272","San Francisco",45.7,37.7705,-122.4269,2015-06-08,0,256,117
"GHCND:USW00023272","San Francisco",45.7,37.7705,-122.4269,2015-06-09,0,244,117
"GHCND:USW00023272","San Francisco",45.7,37.7705,-122.4269,2015-06-10,28,189,128
"GHCND:USW00023272","San Francisco",45.7,37.7705,-122.4269,2015-06-11,0,206,122
"GHCND:USW00023272","San Francisco",45.7,37.7705,-122.4269,2015-06-12,0,217,122
"GHCND:USW00023272","San Francisco",45.7,37.7705,-122.4269,2015-06-13,0,183,128
"GHCND:USW00023272","San Francisco",45.7,37.7705,-122.4269,2015-06-14,0,167,117
"GHCND:USW00023272","San Francisco",45.7,37.7705,-122.4269,2015-06-15,0,150,111
"GHCND:USW00023272","San Francisco",45.7,37.7705,-122.4269,2015-06-16,0,172,117
"GHCND:USW00023272","San Francisco",45.7,37.7705,-122.4269,2015-06-17,0,200,111
"GHCND:USW00023272","San Francisco",45.7,37.7705,-122.4269,2015-06-18,0,161,117
"GHCND:USW00023272","San Francisco",45.7,37.7705,-122.4269,2015-06-19,0,183,106
"GHCND:USW00023272","San Francisco",45.7,37.7705,-122.4269,2015-06-20,0,183,111
"GHCND:USW00023272","San Francisco",45.7,37.7705,-122.4269,2015-06-21,0,167,117
"GHCND:USW00023272","San Francisco",45.7,37.7705,-122.4269,2015-06-22,0,150,117
"GHCND:USW00023272","San Francisco",45.7,37.7705,-122.4269,2015-06-23,0,200,122
"GHCND:USW00023272","San Francisco",45.7,37.7705,-122.4269,2015-06-24,0,211,117
"GHCND:USW00023272","San Francisco",45.7,37.7705,-122.4269,2015-06-25,0,206,133
"GHCND:USW00023272","San Francisco",45.7,37.7705,-122.4269,2015-06-26,0,189,133
"GHCND:USW00023272","San Francisco",45.7,37.7705,-122.4269,2015-06-27,0,206,139
"GHCND:USW00023272","San Francisco",45.7,37.7705,-122.4269,2015-06-28,0,194,144
"GHCND:USW00023272","San Francisco",45.7,37.7705,-122.4269,2015-06-29,0,200,133
"GHCND:USW00023272","San Francisco",45.7,37.7705,-122.4269,2015-06-30,0,239,133
"GHCND:USW00023272","San Francisco",45.7,37.7705,-122.4269,2015-07-01,0,200,128
"GHCND:USW00023272","San Francisco",45.7,37.7705,-122.4269,2015-07-02,0,189,139
"GHCND:USW00023272","San Francisco",45.7,37.7705,-122.4269,2015-07-03,0,200,144
"GHCND:USW00023272","San Francisco",45.7,37.7705,-122.4269,2015-07-04,0,189,144
"GHCND:USW00023272","San Francisco",45.7,37.7705,-122.4269,2015-07-05,3,206,150
"GHCND:USW00023272","San Francisco",45.7,37.7705,-122.4269,2015-07-06,3,206,150
"GHCND:USW00023272","San Francisco",45.7,37.7705,-122.4269,2015-07-07,0,206,156
"GHCND:USW00023272","San Francisco",45.7,37.7705,-122.4269,2015-07-08,0,183,144
"GHCND:USW00023272","San Francisco",45.7,37.7705,-122.4269,2015-07-09,18,178,144
"GHCND:USW00023272","San Francisco",45.7,37.7705,-122.4269,2015-07-10,0,211,156
"GHCND:USW00023272","San Francisco",45.7,37.7705,-122.4269,2015-07-11,0,206,156
"GHCND:USW00023272","San Francisco",45.7,37.7705,-122.4269,2015-07-12,0,217,161
"GHCND:USW00023272","San Francisco",45.7,37.7705,-122.4269,2015-07-13,0,206,156
"GHCND:USW00023272","San Francisco",45.7,37.7705,-122.4269,2015-07-14,0,189,139
"GHCND:USW00023272","San Francisco",45.7,37.7705,-122.4269,2015-07-15,0,228,150
"GHCND:USW00023272","San Francisco",45.7,37.7705,-122.4269,2015-07-16,0,211,150
"GHCND:USW00023272","San Francisco",45.7,37.7705,-122.4269,2015-07-17,0,200,150
"GHCND:USW00023272","San Francisco",45.7,37.7705,-122.4269,2015-07-18,0,217,156
"GHCND:USW00023272","San Francisco",45.7,37.7705,-122.4269,2015-07-19,0,300,167
"GHCND:USW00023272","San Francisco",45.7,37.7705,-122.4269,2015-07-20,0,222,161
"GHCND:USW00023272","San Francisco",45.7,37.7705,-122.4269,2015-07-21,0,178,150
"GHCND:USW00023272","San Francisco",45.7,37.7705,-122.4269,2015-07-22,0,178,150
"GHCND:USW00023272","San Francisco",45.7,37.7705,-122.4269,2015-07-23,0,189,150
"GHCND:USW00023272","San Francisco",45.7,37.7705,-122.4269,2015-07-24,0,200,139
"GHCND:USW00023272","San Francisco",45.7,37.7705,-122.4269,2015-07-25,0,183,144
"GHCND:USW00023272","San Francisco",45.7,37.7705,-122.4269,2015-07-26,0,189,144
"GHCND:USW00023272","San Francisco",45.7,37.7705,-122.4269,2015-07-27,0,233,139
"GHCND:USW00023272","San Francisco",45.7,37.7705,-122.4269,2015-07-28,0,267,139
"GHCND:USW00023272","San Francisco",45.7,37.7705,-122.4269,2015-07-29,0,211,144
"GHCND:USW00023272","San Francisco",45.7,37.7705,-122.4269,2015-07-30,0,200,156
"GHCND:USW00023272","San Francisco",45.7,37.7705,-122.4269,2015-07-31,0,194,156
"GHCND:USW00023272","San Francisco",45.7,37.7705,-122.4269,2015-08-01,0,217,167
"GHCND:USW00023272","San Francisco",45.7,37.7705,-122.4269,2015-08-02,0,211,161
"GHCND:USW00023272","San Francisco",45.7,37.7705,-122.4269,2015-08-03,0,217,167
"GHCND:USW00023272","San Francisco",45.7,37.7705,-122.4269,2015-08-04,0,222,156
"GHCND:USW00023272","San Francisco",45.7,37.7705,-122.4269,2015-08-05,0,211,161
"GHCND:USW00023272","San Francisco",45.7,37.7705,-122.4269,2015-08-06,0,200,150
"GHCND:USW00023272","San Francisco",45.7,37.7705,-122.4269,2015-08-07,0,222,150
"GHCND:USW00023272","San Francisco",45.7,37.7705,-122.4269,2015-08-08,0,183,156
"GHCND:USW00023272","San Francisco",45.7,37.7705,-122.4269,2015-08-09,0,206,150
"GHCND:USW00023272","San Francisco",45.7,37.7705,-122.4269,2015-08-10,0,206,144
"GHCND:USW00023272","San Francisco",45.7,37.7705,-122.4269,2015-08-11,3,189,144
"GHCND:USW00023272","San Francisco",45.7,37.7705,-122.4269,2015-08-12,0,244,144
"GHCND:USW00023272","San Francisco",45.7,37.7705,-122.4269,2015-08-13,0,206,156
"GHCND:USW00023272","San Francisco",45.7,37.7705,-122.4269,2015-08-14,3,217,161
"GHCND:USW00023272","San Francisco",45.7,37.7705,-122.4269,2015-08-15,0,300,167
"GHCND:USW00023272","San Francisco",45.7,37.7705,-122.4269,2015-08-16,0,322,156
"GHCND:USW00023272","San Francisco",45.7,37.7705,-122.4269,2015-08-17,0,222,156
"GHCND:USW00023272","San Francisco",45.7,37.7705,-122.4269,2015-08-18,0,211,150
"GHCND:USW00023272","San Francisco",45.7,37.7705,-122.4269,2015-08-19,0,200,161
